galerie,brunnen_nummer,dn,einbau_pumpe,einbau_messkette,filteroberkante_muGOK,filterunterkante_muGOK,sensor_id, sensor_endnummer,einbau_sensor_muGOK
K,9,400,über Filter,unter Pumpe,21,27,4182018,8,21.5
K,9,400,über Filter,unter Pumpe,21,27,4182017,7,22.5
K,9,400,über Filter,unter Pumpe,21,27,4182016,6,23.5
K,9,400,über Filter,unter Pumpe,21,27,4182015,5,24.5
K,9,400,über Filter,unter Pumpe,21,27,4182014,4,25.5
K,9,400,über Filter,unter Pumpe,21,27,4182013,3,26.5
K,10,600,unter Filter,über Pumpe (am Steigrohr),11,18,4182006,6,11.5
K,10,600,unter Filter,über Pumpe (am Steigrohr),11,18,4182005,5,12.7
K,10,600,unter Filter,über Pumpe (am Steigrohr),11,18,4182004,4,13.9
K,10,600,unter Filter,über Pumpe (am Steigrohr),11,18,4182003,3,15.1
K,10,600,unter Filter,über Pumpe (am Steigrohr),11,18,4182002,2,16.3
K,10,600,unter Filter,über Pumpe (am Steigrohr),11,18,4182001,1,17.5
K,13,600,unter Filter,über Pumpe (am Steigrohr),12,20,4182012,2,12.5
K,13,600,unter Filter,über Pumpe (am Steigrohr),12,20,4182011,1,13.9
K,13,600,unter Filter,über Pumpe (am Steigrohr),12,20,4182010,0,15.3
K,13,600,unter Filter,über Pumpe (am Steigrohr),12,20,4182009,9,16.7
K,13,600,unter Filter,über Pumpe (am Steigrohr),12,20,4182008,8,18.1
K,13,600,unter Filter,über Pumpe (am Steigrohr),12,20,4182007,7,19.5
